M4id,Date,Value
,,
H99,7/1/15,18246
,,
H99,7/1/15,20938
,,
H99,7/1/15,17816
,,
H99,7/1/15,16862
,,
H99,7/1/15,15763
,,
H99,7/1/15,14444
,,
H99,7/1/15,13809
,,
H99,7/1/15,13435
,,
H99,7/1/15,13144
,,
H99,7/1/15,13147
,,
H99,7/1/15,13771
,,
H99,7/1/15,14635
,,
H99,8/1/15,15545
,,
H99,8/1/15,16448
,,
H99,8/1/15,17865
,,
H99,8/1/15,18554
,,
H99,8/1/15,19391
,,
H99,8/1/15,19766
,,
H99,8/1/15,20204
,,
H99,8/1/15,20246
,,
H99,8/1/15,20585
,,
H99,8/1/15,20089
,,
H99,8/1/15,19849
,,
H99,8/1/15,19256
,,
H99,8/1/15,18691
,,
H99,8/1/15,18233
,,
H99,8/1/15,18252
,,
H99,8/1/15,16872
,,
H99,8/1/15,15582
,,
H99,8/1/15,14478
,,
H99,8/1/15,13546
,,
H99,8/1/15,13247
,,
H99,8/1/15,13103
,,
H99,8/1/15,13241
,,
H99,8/1/15,13337
,,
H99,8/1/15,14106
,,
H99,9/1/15,15132
,,
H99,9/1/15,16023
,,
H99,9/1/15,16564
,,
H99,9/1/15,16964
,,
H99,9/1/15,17718
,,
H99,9/1/15,18076
,,
H99,9/1/15,18184
,,
H99,9/1/15,18265
,,
H99,9/1/15,18217
,,
H99,9/1/15,18709
,,
H99,9/1/15,18841
,,
H99,9/1/15,17899
,,
H99,9/1/15,17446
,,
H99,9/1/15,17193
,,
H99,9/1/15,17085
,,
H99,9/1/15,15774
,,
H99,9/1/15,14715
,,
H99,9/1/15,13636
,,
H99,9/1/15,12688
,,
H99,9/1/15,12247
,,
H99,9/1/15,11948
,,
H99,9/1/15,11990
,,
H99,9/1/15,12253
,,
H99,9/1/15,12544
,,
H99,10/1/15,12834
,,
H99,10/1/15,13737
,,
H99,10/1/15,14547
,,
H99,10/1/15,15235
,,
H99,10/1/15,15999
,,
H99,10/1/15,16407
,,
H99,10/1/15,16529
,,
H99,10/1/15,16990
,,
H99,10/1/15,17068
,,
H99,10/1/15,17246
,,
H99,10/1/15,17023
,,
H99,10/1/15,16725
,,
H99,10/1/15,16253
,,
H99,10/1/15,16137
,,
H99,10/1/15,16080
,,
H99,10/1/15,14898
,,
H99,10/1/15,14331
,,
H99,10/1/15,13594
,,
H99,10/1/15,12938
,,
H99,10/1/15,12735
,,
H99,10/1/15,12524
,,
H99,10/1/15,12278
,,
H99,10/1/15,12483
,,
H99,10/1/15,12761
,,
H99,11/1/15,13317
,,
H99,11/1/15,13915
,,
H99,11/1/15,14671
,,
H99,11/1/15,15598
,,
H99,11/1/15,15773
,,
H99,11/1/15,16104
,,
H99,11/1/15,16164
,,
H99,11/1/15,16134
,,
H99,11/1/15,16295
,,
H99,11/1/15,16531
,,
H99,11/1/15,16424
,,
H99,11/1/15,15848
,,
H99,11/1/15,15557
,,
H99,11/1/15,15461
,,
H99,11/1/15,15184
,,
H99,11/1/15,15081
,,
H99,11/1/15,14161
,,
H99,11/1/15,13526
,,
H99,11/1/15,12757
,,
H99,11/1/15,12352
,,
H99,11/1/15,12156
,,
H99,11/1/15,12140
,,
H99,11/1/15,12026
,,
H99,11/1/15,11867
,,
H99,12/1/15,12511
,,
H99,12/1/15,13750
,,
H99,12/1/15,14458
,,
H99,12/1/15,15491
,,
H99,12/1/15,16480
,,
H99,12/1/15,17006
,,
H99,12/1/15,17663
,,
H99,12/1/15,17668
,,
H99,12/1/15,17830
,,
H99,12/1/15,18027
,,
H99,12/1/15,18183
,,
H99,12/1/15,17727
,,
H99,12/1/15,17658
,,
H99,12/1/15,17603
,,
H99,12/1/15,17822
,,
H99,12/1/15,16879
,,
H99,12/1/15,15136
,,
H99,12/1/15,14136
,,
H99,12/1/15,13710
,,
H99,12/1/15,13237
,,
H99,12/1/15,12742
,,
H99,12/1/15,12946
,,
H99,12/1/15,13475
,,
H99,12/1/15,14219
,,
H99,13/1/15,15613
,,
H99,13/1/15,17266
,,
H99,13/1/15,18478
,,
H99,13/1/15,19494
,,
H99,13/1/15,20102
,,
H99,13/1/15,20443
,,
H99,13/1/15,20544
,,
H99,13/1/15,21165
,,
H99,13/1/15,22207
,,
H99,13/1/15,22425
,,
H99,13/1/15,22088
,,
H99,13/1/15,21081
,,
H99,13/1/15,20580
,,
H99,13/1/15,20314
,,
H99,13/1/15,20140
,,
H99,13/1/15,19008
,,
H99,13/1/15,17351
,,
H99,13/1/15,15588
,,
H99,13/1/15,14910
,,
H99,13/1/15,14672
,,
H99,13/1/15,14355
,,
H99,13/1/15,14724
,,
H99,13/1/15,15078
,,
H99,13/1/15,16194
,,
H99,14/1/15,17446
,,
H99,14/1/15,19002
,,
H99,14/1/15,20362
,,
H99,14/1/15,21513
,,
H99,14/1/15,22651
,,
H99,14/1/15,23322
,,
H99,14/1/15,24213
,,
H99,14/1/15,24644
,,
H99,14/1/15,24162
,,
H99,14/1/15,24175
,,
H99,14/1/15,24134
,,
H99,14/1/15,23543
,,
H99,14/1/15,23070
,,
H99,14/1/15,22677
,,
H99,14/1/15,22109
,,
H99,14/1/15,20346
,,
H99,14/1/15,17963
,,
H99,14/1/15,16342
,,
H99,14/1/15,15296
,,
H99,14/1/15,15048
,,
H99,14/1/15,15076
,,
H99,14/1/15,15138
,,
H99,14/1/15,15502
,,
H99,14/1/15,16329
,,
H99,15/1/15,17525
,,
H99,15/1/15,18531
,,
H99,15/1/15,19812
,,
H99,15/1/15,20207
,,
H99,15/1/15,21337
,,
H99,15/1/15,21872
,,
H99,15/1/15,22183
,,
H99,15/1/15,22325
,,
H99,15/1/15,22420
,,
H99,15/1/15,22436
,,
H99,15/1/15,22025
,,
H99,15/1/15,21492
,,
H99,15/1/15,21016
,,
H99,15/1/15,20807
,,
H99,15/1/15,19990
,,
H99,15/1/15,18636
,,
H99,15/1/15,16832
,,
H99,15/1/15,15096
,,
H99,15/1/15,14145
,,
H99,15/1/15,13587
,,
H99,15/1/15,13116
,,
H99,15/1/15,12943
,,
H99,15/1/15,13299
,,
H99,15/1/15,14062
,,
H99,16/1/15,15402
,,
H99,16/1/15,16718
,,
H99,16/1/15,18419
,,
H99,16/1/15,18823
,,
H99,16/1/15,19178
,,
H99,16/1/15,19056
,,
H99,16/1/15,19510
,,
H99,16/1/15,19843
,,
H99,16/1/15,20216
,,
H99,16/1/15,20720
,,
H99,16/1/15,20786
,,
H99,16/1/15,20144
,,
H99,16/1/15,18963
,,
H99,16/1/15,18801
,,
H99,16/1/15,18195
,,
H99,16/1/15,17169
,,
H99,16/1/15,16199
,,
H99,16/1/15,14740
,,
H99,16/1/15,13788
,,
H99,16/1/15,13484
,,
H99,16/1/15,13416
,,
H99,16/1/15,13746
,,
H99,16/1/15,13895
,,
H99,16/1/15,14772
,,
H99,17/1/15,15718
,,
H99,17/1/15,17090
,,
H99,17/1/15,17783
,,
H99,17/1/15,18632
,,
H99,17/1/15,19337
,,
H99,17/1/15,19566
,,
H99,17/1/15,19998
,,
H99,17/1/15,19936
,,
H99,17/1/15,20236
,,
H99,17/1/15,20523
,,
H99,17/1/15,20686
,,
H99,17/1/15,20478
,,
H99,17/1/15,19724
,,
H99,17/1/15,19053
,,
H99,17/1/15,18616
,,
H99,17/1/15,17327
,,
H99,17/1/15,16033
,,
H99,17/1/15,14793
,,
H99,17/1/15,13745
,,
H99,17/1/15,13226
,,
H99,17/1/15,12862
,,
H99,17/1/15,12643
,,
H99,17/1/15,12598
,,
H99,17/1/15,13269
,,
H99,18/1/15,14146
,,
H99,18/1/15,15251
,,
H99,18/1/15,16162
,,
H99,18/1/15,17330
,,
H99,18/1/15,18256
,,
H99,18/1/15,18297
,,
H99,18/1/15,18909
,,
H99,18/1/15,19390
,,
H99,18/1/15,20076
,,
H99,18/1/15,20296
,,
H99,18/1/15,20531
,,
H99,18/1/15,20392
,,
H99,18/1/15,19884
,,
H99,18/1/15,18749
,,
H99,18/1/15,18107
,,
H99,18/1/15,17520
,,
H99,18/1/15,16347
,,
H99,18/1/15,15467
,,
H99,18/1/15,14106
,,
H99,18/1/15,13584
,,
H99,18/1/15,13447
,,
H99,18/1/15,13327
,,
H99,18/1/15,13028
,,
H99,18/1/15,13372
,,
H99,19/1/15,13910
,,
H99,19/1/15,14963
,,
H99,19/1/15,16185
,,
H99,19/1/15,17304
,,
H99,19/1/15,18215
,,
H99,19/1/15,18877
,,
H99,19/1/15,19532
,,
H99,19/1/15,20129
,,
H99,19/1/15,20591
,,
H99,19/1/15,20869
,,
H99,19/1/15,20918
,,
H99,19/1/15,20729
,,
H99,19/1/15,20581
,,
H99,19/1/15,20284
,,
H99,19/1/15,19723
,,
H99,19/1/15,18779
,,
H99,19/1/15,16989
,,
H99,19/1/15,15648
,,
H99,19/1/15,14694
,,
H99,19/1/15,14062
,,
H99,19/1/15,14008
,,
H99,19/1/15,13798
,,
H99,19/1/15,14377
,,
H99,19/1/15,15643
,,
H99,20/1/15,17135
,,
H99,20/1/15,18773
,,
H99,20/1/15,20453
,,
H99,20/1/15,21452
,,
H99,20/1/15,21670
,,
H99,20/1/15,21668
,,
H99,20/1/15,21933
,,
H99,20/1/15,22457
,,
H99,20/1/15,22871
,,
H99,20/1/15,23100
,,
H99,20/1/15,23258
,,
H99,20/1/15,22499
,,
H99,20/1/15,22075
,,
H99,20/1/15,21428
,,
H99,20/1/15,20638
,,
H99,20/1/15,19108
,,
H99,20/1/15,17252
,,
H99,20/1/15,15692
,,
H99,20/1/15,15052
,,
H99,20/1/15,14527
,,
H99,20/1/15,13950
,,
H99,20/1/15,13866
,,
H99,20/1/15,14354
,,
H99,20/1/15,15782
,,
H99,21/1/15,17489
,,
H99,21/1/15,18971
,,
H99,21/1/15,19858
,,
H99,21/1/15,20039
,,
H99,21/1/15,20956
,,
H99,21/1/15,21360
,,
H99,21/1/15,21632
,,
H99,21/1/15,21656
,,
H99,21/1/15,22164
,,
H99,21/1/15,22000
,,
H99,21/1/15,21984
,,
H99,21/1/15,21348
,,
H99,21/1/15,20867
,,
H99,21/1/15,20577
,,
H99,21/1/15,20551
,,
H99,21/1/15,19447
,,
H99,21/1/15,17487
,,
H99,21/1/15,15460
,,
H99,21/1/15,14886
,,
H99,21/1/15,14620
,,
H99,21/1/15,14595
,,
H99,21/1/15,14637
,,
H99,21/1/15,14905
,,
H99,21/1/15,16012
,,
H99,22/1/15,17356
,,
H99,22/1/15,17893
,,
H99,22/1/15,18695
,,
H99,22/1/15,19389
,,
H99,22/1/15,19453
,,
H99,22/1/15,19657
,,
H99,22/1/15,20207
,,
H99,22/1/15,20792
,,
H99,22/1/15,20907
,,
H99,22/1/15,21325
,,
H99,22/1/15,21312
,,
H99,22/1/15,20020
,,
H99,22/1/15,19737
,,
H99,22/1/15,19070
,,
H99,22/1/15,18725
,,
H99,22/1/15,17051
,,
H99,22/1/15,15385
,,
H99,22/1/15,14069
,,
H99,22/1/15,13160
,,
H99,22/1/15,13088
,,
H99,22/1/15,12915
,,
H99,22/1/15,12959
,,
H99,22/1/15,13257
,,
H99,22/1/15,14142
,,
H99,23/1/15,15059
,,
H99,23/1/15,16265
,,
H99,23/1/15,17167
,,
H99,23/1/15,17849
,,
H99,23/1/15,17754
,,
H99,23/1/15,18013
,,
H99,23/1/15,18783
,,
H99,23/1/15,19282
,,
H99,23/1/15,19435
,,
H99,23/1/15,19862
,,
H99,23/1/15,19584
,,
H99,23/1/15,19435
,,
H99,23/1/15,18685
,,
H99,23/1/15,18350
,,
H99,23/1/15,17888
,,
H99,23/1/15,16248
,,
H99,23/1/15,15432
,,
H99,23/1/15,14416
,,
H99,23/1/15,13831
,,
H99,23/1/15,13346
,,
H99,23/1/15,13239
,,
H99,23/1/15,13400
,,
H99,23/1/15,13644
,,
H99,23/1/15,14554
,,
H99,24/1/15,15596
,,
H99,24/1/15,16926
,,
H99,24/1/15,17857
,,
H99,24/1/15,18630
,,
H99,24/1/15,19077
,,
H99,24/1/15,19439
,,
H99,24/1/15,19923
,,
H99,24/1/15,20364
,,
H99,24/1/15,19840
,,
H99,24/1/15,19632
,,
H99,24/1/15,19836
,,
H99,24/1/15,19571
,,
H99,24/1/15,18880
,,
H99,24/1/15,18603
,,
H99,24/1/15,18835
,,
H99,24/1/15,17657
,,
H99,24/1/15,16437
,,
H99,24/1/15,15775
,,
H99,24/1/15,14529
,,
H99,24/1/15,13980
,,
H99,24/1/15,13848
,,
H99,24/1/15,13842
,,
H99,24/1/15,14482
,,
H99,24/1/15,14597
,,
H99,25/1/15,15000
,,
H99,25/1/15,16379
,,
H99,25/1/15,17347
,,
H99,25/1/15,18211
,,
H99,25/1/15,18823
,,
H99,25/1/15,19489
,,
H99,25/1/15,19998
,,
H99,25/1/15,20107
,,
H99,25/1/15,20464
,,
H99,25/1/15,21284
,,
H99,25/1/15,21509
,,
H99,25/1/15,21024
,,
H99,25/1/15,19765
,,
H99,25/1/15,19904
,,
H99,25/1/15,19866
,,
H99,25/1/15,19344
,,
H99,25/1/15,18279
,,
H99,25/1/15,16441
,,
H99,25/1/15,15235
,,
H99,25/1/15,14624
,,
H99,25/1/15,14463
,,
H99,25/1/15,14401
,,
H99,25/1/15,14754
,,
H99,25/1/15,14627
,,
H99,26/1/15,15676
,,
H99,26/1/15,17285
,,
H99,26/1/15,18752
,,
H99,26/1/15,20456
,,
H99,26/1/15,21691
,,
H99,26/1/15,22394
,,
H99,26/1/15,23080
,,
H99,26/1/15,23432
,,
H99,26/1/15,23701
,,
H99,26/1/15,23917
,,
H99,26/1/15,23675
,,
H99,26/1/15,23302
,,
H99,26/1/15,22701
,,
H99,26/1/15,22599
,,
H99,26/1/15,22386
,,
H99,26/1/15,21139
,,
H99,26/1/15,19610
,,
H99,26/1/15,17607
,,
H99,26/1/15,16791
,,
H99,26/1/15,16497
,,
H99,26/1/15,16216
,,
H99,26/1/15,16119
,,
H99,26/1/15,16581
,,
H99,26/1/15,17572
,,
H99,27/1/15,19239
,,
H99,27/1/15,20538
,,
H99,27/1/15,22573
,,
H99,27/1/15,24068
,,
H99,27/1/15,25134
,,
H99,27/1/15,25997
,,
H99,27/1/15,26615
,,
H99,27/1/15,27327
,,
H99,27/1/15,27770
,,
H99,27/1/15,27462
,,
H99,27/1/15,27467
,,
H99,27/1/15,26723
,,
H99,27/1/15,25666
,,
H99,27/1/15,25222
,,
H99,27/1/15,24591
,,
H99,27/1/15,23068
,,
H99,27/1/15,20552
,,
H99,27/1/15,18503
,,
H99,27/1/15,17459
,,
H99,27/1/15,16867
,,
H99,27/1/15,16698
,,
H99,27/1/15,16583
,,
H99,27/1/15,17310
,,
H99,27/1/15,18389
,,
H99,28/1/15,19742
,,
H99,28/1/15,21189
,,
H99,28/1/15,21867
,,
H99,28/1/15,22510
,,
H99,28/1/15,22944
,,
H99,28/1/15,23670
,,
H99,28/1/15,24191
,,
H99,28/1/15,24695
,,
H99,28/1/15,25181
,,
H99,28/1/15,25340
,,
H99,28/1/15,25524
,,
H99,28/1/15,25592
,,
H99,28/1/15,24523
,,
H99,28/1/15,23531
,,
H99,28/1/15,22744
,,
H99,28/1/15,21282
,,
H99,28/1/15,18841
,,
H99,28/1/15,16280
,,
H99,28/1/15,15045
,,
H99,28/1/15,14499
,,
H99,28/1/15,14469
,,
H99,28/1/15,14661
,,
H99,28/1/15,14741
,,
H99,28/1/15,15455
,,
H99,29/1/15,17150
,,
H99,29/1/15,18383
,,
H99,29/1/15,19480
,,
H99,29/1/15,20171
,,
H99,29/1/15,20958
,,
H99,29/1/15,20973
,,
H99,29/1/15,21694
,,
H99,29/1/15,21857
,,
H99,29/1/15,22091
,,
H99,29/1/15,22252
,,
H99,29/1/15,22255
,,
H99,29/1/15,21761
,,
H99,29/1/15,21143
,,
H99,29/1/15,20448
,,
H99,29/1/15,19828
,,
H99,29/1/15,18346
,,
H99,29/1/15,16720
,,
H99,29/1/15,15374
,,
H99,29/1/15,14053
,,
H99,29/1/15,13270
,,
H99,29/1/15,13240
,,
H99,29/1/15,13137
,,
H99,29/1/15,13371
,,
H99,29/1/15,14753
,,
H99,30/1/15,16275
,,
H99,30/1/15,18010
,,
H99,30/1/15,18756
,,
H99,30/1/15,19268
,,
H99,30/1/15,20224
,,
H99,30/1/15,20841
,,
H99,30/1/15,21160
,,
H99,30/1/15,21688
,,
H99,30/1/15,21969
,,
H99,30/1/15,22206
,,
H99,30/1/15,22263
,,
H99,30/1/15,21300
,,
H99,30/1/15,20329
,,
H99,30/1/15,19729
,,
H99,30/1/15,19282
,,
H99,30/1/15,17628
,,
H99,30/1/15,16285
,,
H99,30/1/15,14675
,,
H99,30/1/15,13508
,,
H99,30/1/15,13077
,,
H99,30/1/15,12943
,,
H99,30/1/15,13029
,,
H99,30/1/15,13416
,,
H99,30/1/15,14747
,,
H99,31/1/15,16280
,,
H99,31/1/15,17530
,,
H99,31/1/15,18293
,,
H99,31/1/15,19644
,,
H99,31/1/15,20091
,,
H99,31/1/15,20667
,,
H99,31/1/15,20988
,,
H99,31/1/15,21288
,,
H99,31/1/15,21655
,,
H99,31/1/15,21711
,,
H99,31/1/15,21369
,,
H99,31/1/15,20845
,,
H99,31/1/15,19964
,,
H99,31/1/15,19634
,,
H99,31/1/15,19387
,,
H99,31/1/15,18466
,,
H99,31/1/15,16619
,,
H99,31/1/15,14626
,,
H99,31/1/15,13786
,,
H99,31/1/15,13222
,,
H99,31/1/15,12836
,,
H99,31/1/15,12818
,,
H99,31/1/15,13145
,,
H99,31/1/15,13485
,,
H99,1/2/15,14316
,,
H99,1/2/15,15697
,,
H99,1/2/15,16845
,,
H99,1/2/15,17618
,,
H99,1/2/15,18452
,,
H99,1/2/15,19189
,,
H99,1/2/15,19950
,,
H99,1/2/15,20058
,,
H99,1/2/15,20164
,,
H99,1/2/15,20268
,,
H99,1/2/15,20168
,,
H99,1/2/15,19961
,,
H99,1/2/15,19119
,,
H99,1/2/15,19055
,,
H99,1/2/15,18786
,,
H99,1/2/15,17673
,,
H99,1/2/15,16494
,,
H99,1/2/15,15127
,,
H99,1/2/15,14530
,,
H99,1/2/15,13805
,,
H99,1/2/15,13370
,,
H99,1/2/15,13302
,,
H99,1/2/15,13481
,,
H99,1/2/15,13491
,,
H99,2/2/15,13640
,,
H99,2/2/15,15323
,,
H99,2/2/15,16471
,,
H99,2/2/15,17382
,,
H99,2/2/15,18559
,,
H99,2/2/15,19756
,,
H99,2/2/15,20308
,,
H99,2/2/15,20733
,,
H99,2/2/15,20672
,,
H99,2/2/15,21097
,,
H99,2/2/15,21081
,,
H99,2/2/15,20422
,,
H99,2/2/15,20201
,,
H99,2/2/15,20034
,,
H99,2/2/15,19723
,,
H99,2/2/15,18093
,,
H99,2/2/15,17129
,,
H99,2/2/15,15845
,,
H99,2/2/15,15079
,,
H99,2/2/15,14551
,,
H99,2/2/15,13841
,,
H99,2/2/15,14047
,,
H99,2/2/15,14429
,,
H99,2/2/15,15631
,,
H99,3/2/15,17002
,,
H99,3/2/15,18727
,,
H99,3/2/15,20040
,,
H99,3/2/15,20766
,,
H99,3/2/15,21485
,,
H99,3/2/15,22265
,,
H99,3/2/15,23139
,,
H99,3/2/15,23670
,,
H99,3/2/15,24236
,,
H99,3/2/15,24524
,,
H99,3/2/15,24467
,,
H99,3/2/15,23468
,,
H99,3/2/15,22524
,,
H99,3/2/15,22090
,,
H99,3/2/15,21857
,,
H99,3/2/15,20466
,,
H99,3/2/15,18433
,,
H99,3/2/15,16275
,,
H99,3/2/15,15111
,,
H99,3/2/15,14428
,,
H99,3/2/15,14199
,,
H99,3/2/15,14177
,,
H99,3/2/15,14751
,,
H99,3/2/15,16302
,,
H99,4/2/15,18173
,,
H99,4/2/15,19907
,,
H99,4/2/15,21763
,,
H99,4/2/15,23338
,,
H99,4/2/15,24601
,,
H99,4/2/15,25297
,,
H99,4/2/15,25980
,,
H99,4/2/15,26469
,,
H99,4/2/15,27063
,,
H99,4/2/15,27388
,,
H99,4/2/15,27361
,,
H99,4/2/15,26874
,,
H99,4/2/15,26061
,,
H99,4/2/15,25022
,,
H99,4/2/15,24115
,,
H99,4/2/15,21899
,,
H99,4/2/15,19197
,,
H99,4/2/15,17950
,,
H99,4/2/15,16689
,,
H99,4/2/15,15370
,,
H99,4/2/15,15044
,,
H99,4/2/15,14949
,,
H99,4/2/15,15906
,,
H99,4/2/15,17285
,,
H99,5/2/15,19078
,,
H99,5/2/15,21001
,,
H99,5/2/15,22796
,,
H99,5/2/15,24290
,,
H99,5/2/15,25668
,,
H99,5/2/15,26972
,,
H99,5/2/15,28039
,,
H99,5/2/15,28432
,,
H99,5/2/15,28656
,,
H99,5/2/15,29210
,,
H99,5/2/15,28981
,,
H99,5/2/15,27926
,,
H99,5/2/15,26744
,,
H99,5/2/15,25829
,,
H99,5/2/15,25421
,,
H99,5/2/15,23252
